date,open,close,high,low,volume,amount
2015-11-03,,1.0,,,,
2015-11-06,,1.019,,,,
2015-11-13,,1.063,,,,
2015-11-20,,1.101,,,,
2015-11-27,,1.087,,,,
2015-12-02,,1.088,,,,
2015-12-03,,1.105,,,,
2015-12-04,,1.104,,,,
2015-12-07,,1.11,,,,
2015-12-08,,1.103,,,,
2015-12-09,,1.112,,,,
2015-12-10,,1.108,,,,
2015-12-11,,1.105,,,,
2015-12-14,,1.103,,,,
2015-12-15,,1.108,,,,
2015-12-16,,1.108,,,,
2015-12-17,,1.115,,,,
2015-12-18,,1.121,,,,
2015-12-21,,1.131,,,,
2015-12-22,,1.057,,,,
2015-12-23,,1.053,,,,
2015-12-24,,1.051,,,,
2015-12-25,,1.058,,,,
2015-12-28,,1.04,,,,
2015-12-29,,1.046,,,,
2015-12-30,,1.052,,,,
2015-12-31,,1.053,,,,
2016-01-04,,1.001,,,,
2016-01-05,,0.997,,,,
2016-01-06,,1.021,,,,
2016-01-07,,0.943,,,,
2016-01-08,,0.977,,,,
2016-01-11,,0.926,,,,
2016-01-12,,0.914,,,,
2016-01-13,,0.895,,,,
2016-01-14,,0.924,,,,
2016-01-15,,0.892,,,,
2016-01-18,,0.909,,,,
2016-01-19,,0.938,,,,
2016-01-20,,0.946,,,,
2016-01-21,,0.917,,,,
2016-01-22,,0.93,,,,
2016-01-25,,0.934,,,,
2016-01-26,,0.888,,,,
2016-01-27,,0.89,,,,
2016-01-28,,0.864,,,,
2016-01-29,,0.879,,,,
2016-02-01,,0.875,,,,
2016-02-02,,0.906,,,,
2016-02-03,,0.918,,,,
2016-02-04,,0.936,,,,
2016-02-05,,0.919,,,,
2016-02-15,,0.926,,,,
2016-02-16,,0.96,,,,
2016-02-17,,0.97,,,,
2016-02-18,,0.964,,,,
2016-02-19,,0.969,,,,
2016-02-22,,0.989,,,,
2016-02-23,,0.984,,,,
2016-02-24,,0.977,,,,
2016-02-25,,0.912,,,,
2016-02-26,,0.911,,,,
2016-02-29,,0.874,,,,
2016-03-01,,0.888,,,,
2016-03-02,,0.919,,,,
2016-03-03,,0.912,,,,
2016-03-04,,0.892,,,,
2016-03-07,,0.898,,,,
2016-03-08,,0.903,,,,
2016-03-09,,0.887,,,,
2016-03-10,,0.882,,,,
2016-03-11,,0.881,,,,
2016-03-14,,0.893,,,,
2016-03-15,,0.895,,,,
2016-03-16,,0.892,,,,
2016-03-17,,0.926,,,,
2016-03-18,,0.961,,,,
2016-03-21,,0.978,,,,
2016-03-22,,0.975,,,,
2016-03-23,,0.987,,,,
2016-03-24,,0.975,,,,
2016-03-25,,0.977,,,,
2016-03-28,,0.98,,,,
2016-03-29,,0.963,,,,
2016-03-30,,0.997,,,,
2016-03-31,,1.003,,,,
2016-04-01,,1.002,,,,
2016-04-05,,1.033,,,,
2016-04-06,,1.039,,,,
2016-04-07,,1.026,,,,
2016-04-08,,1.026,,,,
2016-04-11,,1.051,,,,
2016-04-12,,1.047,,,,
2016-04-13,,1.06,,,,
2016-04-14,,1.067,,,,
2016-04-15,,1.065,,,,
2016-04-18,,1.054,,,,
2016-04-19,,1.06,,,,
2016-04-20,,1.026,,,,
2016-04-21,,1.016,,,,
2016-04-22,,1.016,,,,
2016-04-25,,1.021,,,,
2016-04-26,,1.03,,,,
2016-04-27,,1.02,,,,
2016-04-28,,1.01,,,,
2016-04-29,,1.014,,,,
2016-05-03,,1.044,,,,
2016-05-04,,1.05,,,,
2016-05-05,,1.056,,,,
2016-05-06,,1.024,,,,
2016-05-09,,0.99,,,,
2016-05-10,,0.979,,,,
2016-05-11,,0.985,,,,
2016-05-12,,0.996,,,,
2016-05-13,,0.996,,,,
2016-05-16,,1.018,,,,
2016-05-17,,1.014,,,,
2016-05-18,,0.991,,,,
2016-05-19,,0.999,,,,
2016-05-20,,1.012,,,,
2016-05-23,,1.024,,,,
2016-05-24,,1.009,,,,
2016-05-25,,1.002,,,,
2016-05-26,,1.005,,,,
2016-05-27,,1.006,,,,
2016-05-30,,1.011,,,,
2016-05-31,,1.047,,,,
2016-06-01,,1.059,,,,
2016-06-02,,1.075,,,,
2016-06-03,,1.08,,,,
2016-06-06,,1.085,,,,
2016-06-07,,1.091,,,,
2016-06-08,,1.09,,,,
2016-06-13,,1.052,,,,
2016-06-14,,1.062,,,,
2016-06-15,,1.108,,,,
2016-06-16,,1.128,,,,
2016-06-17,,1.124,,,,
2016-06-20,,1.13,,,,
2016-06-21,,1.065,,,,
2016-06-22,,1.077,,,,
2016-06-23,,1.066,,,,
2016-06-24,,1.059,,,,
2016-06-27,,1.089,,,,
2016-06-28,,1.101,,,,
2016-06-29,,1.109,,,,
2016-06-30,,1.105,,,,
2016-07-01,,1.102,,,,
2016-07-04,,1.122,,,,
2016-07-05,,1.123,,,,
2016-07-06,,1.126,,,,
2016-07-07,,1.124,,,,
2016-07-08,,1.115,,,,
2016-07-11,,1.12,,,,
2016-07-12,,1.123,,,,
2016-07-13,,1.125,,,,
2016-07-14,,1.123,,,,
2016-07-15,,1.119,,,,
2016-07-18,,1.119,,,,
2016-07-19,,1.125,,,,
2016-07-20,,1.127,,,,
2016-07-21,,1.13,,,,
2016-07-22,,1.129,,,,
2016-07-25,,1.124,,,,
2016-07-26,,1.146,,,,
2016-07-27,,1.105,,,,
2016-07-28,,1.103,,,,
2016-07-29,,1.095,,,,
2016-08-01,,1.079,,,,
2016-08-02,,1.09,,,,
2016-08-03,,1.091,,,,
2016-08-04,,1.099,,,,
2016-08-05,,1.093,,,,
2016-08-08,,1.105,,,,
2016-08-09,,1.11,,,,
2016-08-10,,1.103,,,,
2016-08-11,,1.096,,,,
2016-08-12,,1.104,,,,
2016-08-15,,1.125,,,,
2016-08-16,,1.129,,,,
2016-08-17,,1.131,,,,
2016-08-18,,1.13,,,,
2016-08-19,,1.126,,,,
2016-08-22,,1.118,,,,
2016-08-23,,1.126,,,,
2016-08-24,,1.088,,,,
2016-08-25,,1.085,,,,
2016-08-26,,1.091,,,,
2016-08-29,,1.087,,,,
2016-08-30,,1.093,,,,
2016-08-31,,1.085,,,,
2016-09-01,,1.079,,,,
2016-09-02,,1.078,,,,
2016-09-05,,1.081,,,,
2016-09-06,,1.106,,,,
2016-09-07,,1.101,,,,
2016-09-08,,1.101,,,,
2016-09-09,,1.086,,,,
2016-09-12,,1.059,,,,
2016-09-13,,1.068,,,,
2016-09-14,,1.072,,,,
2016-09-19,,1.077,,,,
2016-09-20,,1.083,,,,
2016-09-21,,1.084,,,,
2016-09-22,,1.092,,,,
2016-09-23,,1.094,,,,
2016-09-26,,1.068,,,,
2016-09-27,,1.07,,,,
2016-09-28,,1.073,,,,
2016-09-29,,1.079,,,,
2016-09-30,,1.084,,,,
2016-10-10,,1.094,,,,
2016-10-11,,1.106,,,,
2016-10-12,,1.097,,,,
2016-10-13,,1.1,,,,
2016-10-14,,1.091,,,,
2016-10-17,,1.081,,,,
2016-10-18,,1.097,,,,
2016-10-19,,1.093,,,,
2016-10-20,,1.099,,,,
2016-10-21,,1.09,,,,
