date,open,close,high,low,volume,amount
2016-07-26,,1.0,,,,
2016-07-29,,0.9956,,,,
2016-08-01,,0.9935,,,,
2016-08-05,,0.9994,,,,
2016-08-08,,1.0073,,,,
2016-08-09,,1.0148,,,,
2016-08-10,,1.0099,,,,
2016-08-11,,1.0148,,,,
2016-08-12,,1.0395,,,,
2016-08-15,,1.0971,,,,
2016-08-16,,1.0846,,,,
2016-08-17,,1.0783,,,,
2016-08-18,,1.0687,,,,
2016-08-19,,1.0684,,,,
2016-08-22,,1.0508,,,,
2016-08-23,,1.0552,,,,
2016-08-24,,1.0479,,,,
2016-08-25,,1.0534,,,,
2016-08-26,,1.0483,,,,
2016-08-29,,1.0488,,,,
2016-08-30,,1.0544,,,,
2016-08-31,,1.0615,,,,
2016-09-01,,1.0449,,,,
2016-09-02,,1.0526,,,,
2016-09-05,,1.0548,,,,
2016-09-06,,1.0581,,,,
2016-09-07,,1.0557,,,,
2016-09-08,,1.0537,,,,
2016-09-09,,1.047,,,,
2016-09-12,,1.0243,,,,
2016-09-13,,1.0208,,,,
2016-09-14,,1.0114,,,,
2016-09-19,,1.0151,,,,
2016-09-20,,1.0133,,,,
2016-09-21,,1.0204,,,,
2016-09-22,,1.0213,,,,
2016-09-23,,1.0149,,,,
2016-09-26,,0.9976,,,,
2016-09-27,,1.0077,,,,
2016-09-28,,1.0036,,,,
2016-09-29,,1.0141,,,,
2016-09-30,,1.0156,,,,
2016-10-10,,1.0304,,,,
2016-10-11,,1.0331,,,,
2016-10-12,,1.0291,,,,
2016-10-13,,1.0307,,,,
2016-10-14,,1.029,,,,
2016-10-17,,1.014,,,,
2016-10-18,,1.0391,,,,
2016-10-19,,1.0321,,,,
2016-10-20,,1.0306,,,,
2016-10-21,,1.037,,,,
2016-10-24,,1.0597,,,,
2016-10-25,,1.0545,,,,
2016-10-26,,1.0514,,,,
2016-10-27,,1.0523,,,,
2016-10-28,,1.0594,,,,
2016-10-31,,1.0599,,,,
2016-11-01,,1.0697,,,,
2016-11-02,,1.0653,,,,
2016-11-03,,1.0899,,,,
2016-11-04,,1.0867,,,,
2016-11-07,,1.0899,,,,
2016-11-08,,1.0908,,,,
2016-11-09,,1.0757,,,,
2016-11-10,,1.0967,,,,
2016-11-11,,1.1338,,,,
2016-11-14,,1.143,,,,
2016-11-15,,1.1356,,,,
2016-11-16,,1.1378,,,,
2016-11-17,,1.1387,,,,
2016-11-18,,1.1187,,,,
2016-11-21,,1.1227,,,,
2016-11-22,,1.1352,,,,
2016-11-23,,1.1258,,,,
2016-11-24,,1.1371,,,,
2016-11-25,,1.1441,,,,
2016-11-28,,1.1376,,,,
2016-11-29,,1.1408,,,,
2016-11-30,,1.1324,,,,
2016-12-01,,1.143,,,,
2016-12-02,,1.1233,,,,
2016-12-05,,1.0845,,,,
2016-12-06,,1.0818,,,,
2016-12-07,,1.0896,,,,
2016-12-08,,1.0777,,,,
2016-12-09,,1.0827,,,,
2016-12-12,,1.0536,,,,
2016-12-13,,1.0549,,,,
2016-12-14,,1.0404,,,,
2016-12-15,,1.0373,,,,
2016-12-16,,1.0371,,,,
2016-12-19,,1.0292,,,,
2016-12-20,,1.0309,,,,
2016-12-21,,1.0382,,,,
2016-12-22,,1.0335,,,,
2016-12-23,,1.0225,,,,
2016-12-26,,1.0326,,,,
2016-12-27,,1.0287,,,,
2016-12-28,,1.0255,,,,
2016-12-29,,1.0227,,,,
2016-12-30,,1.03,,,,
2016-12-31,,1.03,,,,
2017-01-03,,1.0397,,,,
2017-01-04,,1.0445,,,,
2017-01-05,,1.0393,,,,
2017-01-06,,1.0287,,,,
2017-01-09,,1.0325,,,,
2017-01-10,,1.0343,,,,
2017-01-11,,1.0308,,,,
2017-01-12,,1.0314,,,,
2017-01-13,,1.0344,,,,
2017-01-16,,1.0329,,,,
2017-01-17,,1.0276,,,,
2017-01-18,,1.0276,,,,
2017-01-19,,1.0283,,,,
2017-01-20,,1.0371,,,,
2017-01-23,,1.0385,,,,
2017-01-24,,1.0324,,,,
2017-01-25,,1.0343,,,,
2017-01-26,,1.0393,,,,
2017-02-03,,1.0313,,,,
2017-02-06,,1.0323,,,,
2017-02-07,,1.0267,,,,
2017-02-08,,1.0448,,,,
2017-02-09,,1.0447,,,,
2017-02-10,,1.0503,,,,
2017-02-13,,1.0565,,,,
2017-02-14,,1.0552,,,,
2017-02-15,,1.0486,,,,
2017-02-16,,1.0585,,,,
2017-02-17,,1.0593,,,,
2017-02-20,,1.0685,,,,
2017-02-21,,1.0731,,,,
2017-02-22,,1.0709,,,,
2017-02-23,,1.0601,,,,
2017-02-24,,1.0628,,,,
2017-02-27,,1.0518,,,,
2017-02-28,,1.0535,,,,
2017-03-01,,1.0524,,,,
2017-03-02,,1.0506,,,,
2017-03-03,,1.0428,,,,
2017-03-06,,1.0522,,,,
2017-03-07,,1.0521,,,,
2017-03-08,,1.0478,,,,
2017-03-09,,1.0429,,,,
2017-03-10,,1.0386,,,,
2017-03-13,,1.0442,,,,
2017-03-14,,1.0422,,,,
2017-03-15,,1.0423,,,,
2017-03-16,,1.0635,,,,
2017-03-17,,1.0435,,,,
2017-03-20,,1.0379,,,,
2017-03-21,,1.0314,,,,
2017-03-22,,1.0185,,,,
2017-03-23,,1.0219,,,,
2017-03-24,,1.0349,,,,
2017-03-27,,1.032,,,,
2017-03-28,,1.0271,,,,
2017-03-29,,1.0183,,,,
2017-03-30,,1.0154,,,,
2017-03-31,,1.0145,,,,
2017-04-05,,1.0322,,,,
2017-04-06,,1.0302,,,,
2017-04-07,,1.0316,,,,
2017-04-10,,1.0232,,,,
2017-04-11,,1.0274,,,,
2017-04-12,,1.0334,,,,
2017-04-13,,1.0281,,,,
2017-04-14,,1.0182,,,,
2017-04-17,,1.0185,,,,
2017-04-18,,1.0046,,,,
2017-04-19,,1.0007,,,,
2017-04-20,,0.9975,,,,
2017-04-21,,1.0054,,,,
2017-04-24,,1.0054,,,,
2017-04-25,,0.996,,,,
2017-04-26,,0.9994,,,,
2017-04-27,,0.9998,,,,
2017-04-28,,1.0012,,,,
2017-05-02,,0.9907,,,,
2017-05-03,,0.9847,,,,
2017-05-04,,0.9775,,,,
2017-05-05,,0.9621,,,,
2017-05-08,,0.9594,,,,
2017-05-09,,0.956,,,,
2017-05-10,,0.9488,,,,
2017-05-11,,0.9517,,,,
2017-05-12,,0.9584,,,,
2017-05-15,,0.9647,,,,
2017-05-16,,0.9687,,,,
2017-05-17,,0.968,,,,
2017-05-18,,0.957,,,,
2017-05-19,,0.955,,,,
2017-05-22,,0.9443,,,,
2017-05-23,,0.9465,,,,
2017-05-24,,0.9511,,,,
2017-05-25,,0.9862,,,,
2017-05-26,,0.9845,,,,
2017-05-31,,0.9922,,,,
2017-06-01,,0.9878,,,,
2017-06-02,,0.9852,,,,
2017-06-05,,0.9822,,,,
2017-06-06,,0.9843,,,,
2017-06-07,,0.9933,,,,
2017-06-08,,0.9922,,,,
2017-06-09,,0.9894,,,,
2017-06-12,,0.978,,,,
2017-06-13,,0.9829,,,,
2017-06-14,,0.9835,,,,
2017-06-15,,0.9937,,,,
2017-06-16,,0.9905,,,,
2017-06-19,,1.0098,,,,
2017-06-20,,1.0088,,,,
2017-06-21,,1.0085,,,,
2017-06-22,,1.0095,,,,
2017-06-23,,1.0063,,,,
2017-06-26,,1.0214,,,,
2017-06-27,,1.0172,,,,
2017-06-28,,1.0138,,,,
2017-06-29,,1.0129,,,,
2017-06-30,,1.0122,,,,
2017-07-03,,1.0077,,,,
2017-07-04,,1.0001,,,,
2017-07-05,,1.0063,,,,
2017-07-06,,1.0032,,,,
2017-07-07,,1.0169,,,,
2017-07-10,,1.0251,,,,
2017-07-11,,1.0272,,,,
2017-07-12,,1.0232,,,,
2017-07-13,,1.0429,,,,
2017-07-14,,1.0416,,,,
2017-07-17,,1.0116,,,,
2017-07-18,,1.0049,,,,
2017-07-19,,1.0669,,,,
2017-07-20,,1.0628,,,,
2017-07-21,,1.0531,,,,
2017-07-24,,1.0545,,,,
2017-07-25,,1.0429,,,,
2017-07-26,,1.0504,,,,
2017-07-27,,1.0568,,,,
2017-07-28,,1.0481,,,,
2017-07-31,,1.0559,,,,
2017-08-01,,1.0674,,,,
2017-08-02,,1.0766,,,,
2017-08-03,,1.0699,,,,
2017-08-04,,1.0721,,,,
2017-08-07,,1.0603,,,,
2017-08-08,,1.0654,,,,
2017-08-09,,1.0516,,,,
2017-08-10,,1.0526,,,,
2017-08-11,,1.0229,,,,
2017-08-14,,1.0421,,,,
2017-08-15,,1.0371,,,,
2017-08-16,,1.0388,,,,
2017-08-17,,1.0484,,,,
2017-08-18,,1.0371,,,,
2017-08-21,,1.0442,,,,
2017-08-22,,1.0422,,,,
2017-08-23,,1.0523,,,,
2017-08-24,,1.0358,,,,
2017-08-25,,1.0638,,,,
2017-08-28,,1.1259,,,,
2017-08-29,,1.1145,,,,
2017-08-30,,1.1176,,,,
2017-08-31,,1.1297,,,,
2017-09-01,,1.1373,,,,
2017-09-04,,1.1336,,,,
2017-09-05,,1.1292,,,,
2017-09-06,,1.1255,,,,
2017-09-07,,1.1119,,,,
2017-09-08,,1.1073,,,,
2017-09-11,,1.1098,,,,
2017-09-12,,1.1216,,,,
2017-09-13,,1.1174,,,,
2017-09-14,,1.1139,,,,
2017-09-15,,1.1166,,,,
2017-09-18,,1.1299,,,,
2017-09-19,,1.1138,,,,
2017-09-20,,1.1156,,,,
2017-09-21,,1.1131,,,,
2017-09-22,,1.1116,,,,
2017-09-25,,1.1043,,,,
2017-09-26,,1.1036,,,,
2017-09-27,,1.1012,,,,
2017-09-28,,1.0985,,,,
2017-09-29,,1.1108,,,,
2017-10-09,,1.1108,,,,
2017-10-10,,1.1111,,,,
2017-10-11,,1.1058,,,,
2017-10-12,,1.1006,,,,
2017-10-13,,1.1024,,,,
2017-10-16,,1.0945,,,,
2017-10-17,,1.0864,,,,
2017-10-18,,1.0875,,,,
2017-10-19,,1.0661,,,,
2017-10-20,,1.067,,,,
2017-10-23,,1.0605,,,,
2017-10-24,,1.0733,,,,
2017-10-25,,1.0746,,,,
2017-10-26,,1.0759,,,,
2017-10-27,,1.0658,,,,
2017-10-30,,1.0419,,,,
2017-10-31,,1.0344,,,,
2017-11-01,,1.0286,,,,
2017-11-02,,1.0344,,,,
2017-11-03,,1.0327,,,,
2017-11-06,,1.0288,,,,
2017-11-07,,1.0448,,,,
2017-11-08,,1.0631,,,,
2017-11-09,,1.0646,,,,
2017-11-10,,1.0651,,,,
2017-11-13,,1.0601,,,,
2017-11-14,,1.0502,,,,
2017-11-15,,1.0452,,,,
2017-11-16,,1.027,,,,
2017-11-17,,1.0391,,,,
2017-11-20,,1.0231,,,,
2017-11-21,,1.0643,,,,
2017-11-22,,1.0669,,,,
2017-11-23,,1.0414,,,,
2017-11-24,,1.0433,,,,
2017-11-27,,1.0434,,,,
2017-11-28,,1.0422,,,,
2017-11-29,,1.043,,,,
2017-11-30,,1.0398,,,,
2017-12-01,,1.0358,,,,
2017-12-04,,1.027,,,,
2017-12-05,,1.0379,,,,
2017-12-06,,1.0375,,,,
2017-12-07,,1.0219,,,,
2017-12-08,,1.0193,,,,
2017-12-11,,1.0231,,,,
2017-12-12,,1.0051,,,,
2017-12-13,,1.0059,,,,
2017-12-14,,0.9893,,,,
2017-12-15,,0.982,,,,
2017-12-18,,0.9773,,,,
2017-12-19,,0.9824,,,,
2017-12-20,,0.9685,,,,
2017-12-21,,0.9731,,,,
2017-12-22,,0.9643,,,,
