date,open,close,high,low,volume,amount
2024-07-02,,1.0,,,,
2024-07-05,,0.9999,,,,
2024-07-10,,0.9934,,,,
2024-07-11,,0.9958,,,,
2024-07-12,,1.0001,,,,
2024-07-15,,0.9957,,,,
2024-07-16,,0.9869,,,,
2024-07-17,,0.9799,,,,
2024-07-18,,0.9835,,,,
2024-07-19,,0.9697,,,,
2024-07-22,,0.9764,,,,
2024-07-23,,0.9745,,,,
2024-07-24,,0.9779,,,,
2024-07-25,,0.962,,,,
2024-07-26,,0.9604,,,,
2024-07-29,,0.9693,,,,
2024-07-30,,0.956,,,,
2024-07-31,,0.9675,,,,
2024-08-01,,0.9684,,,,
2024-08-02,,0.9646,,,,
2024-08-05,,0.9493,,,,
2024-08-06,,0.9471,,,,
2024-08-07,,0.9614,,,,
2024-08-08,,0.9612,,,,
2024-08-09,,0.9665,,,,
2024-08-12,,0.9659,,,,
2024-08-13,,0.97,,,,
2024-08-14,,0.9694,,,,
2024-08-15,,0.9731,,,,
2024-08-16,,0.9802,,,,
2024-08-19,,0.9899,,,,
2024-08-20,,0.9857,,,,
2024-08-21,,0.9815,,,,
2024-08-22,,0.9821,,,,
2024-08-23,,0.9839,,,,
2024-08-26,,0.988,,,,
2024-08-27,,1.0012,,,,
2024-08-28,,0.9944,,,,
2024-08-29,,0.9939,,,,
2024-08-30,,0.9919,,,,
2024-09-02,,0.9843,,,,
2024-09-03,,0.9773,,,,
2024-09-04,,0.9696,,,,
2024-09-05,,0.9674,,,,
2024-09-06,,0.9665,,,,
2024-09-09,,0.9523,,,,
2024-09-10,,0.9473,,,,
2024-09-11,,0.9334,,,,
2024-09-12,,0.9419,,,,
2024-09-13,,0.9469,,,,
2024-09-18,,0.9556,,,,
2024-09-19,,0.9662,,,,
2024-09-20,,0.9715,,,,
2024-09-23,,0.9751,,,,
2024-09-24,,1.0038,,,,
2024-09-25,,1.0081,,,,
2024-09-26,,1.0349,,,,
2024-09-27,,1.0486,,,,
2024-09-30,,1.0793,,,,
2024-10-08,,1.114,,,,
2024-10-09,,1.0726,,,,
2024-10-10,,1.1116,,,,
2024-10-11,,1.1125,,,,
2024-10-14,,1.1141,,,,
2024-10-15,,1.0816,,,,
2024-10-16,,1.0957,,,,
2024-10-17,,1.0784,,,,
2024-10-18,,1.1126,,,,
2024-10-21,,1.0975,,,,
2024-10-22,,1.1064,,,,
2024-10-23,,1.1104,,,,
2024-10-24,,1.1046,,,,
2024-10-25,,1.1034,,,,
2024-10-28,,1.1127,,,,
2024-10-29,,1.1008,,,,
2024-10-30,,1.0874,,,,
2024-10-31,,1.0846,,,,
2024-11-01,,1.0916,,,,
2024-11-04,,1.1009,,,,
2024-11-05,,1.1201,,,,
2024-11-06,,1.1071,,,,
2024-11-07,,1.138,,,,
2024-11-08,,1.1194,,,,
2024-11-11,,1.0898,,,,
2024-11-12,,1.069,,,,
2024-11-13,,1.0673,,,,
2024-11-14,,1.0503,,,,
2024-11-15,,1.0516,,,,
2024-11-18,,1.0681,,,,
2024-11-19,,1.0742,,,,
2024-11-20,,1.0752,,,,
2024-11-21,,1.0721,,,,
2024-11-22,,1.0499,,,,
2024-11-25,,1.0458,,,,
2024-11-26,,1.042,,,,
2024-11-27,,1.0549,,,,
2024-11-28,,1.0418,,,,
2024-11-29,,1.048,,,,
2024-12-02,,1.0602,,,,
2024-12-03,,1.0738,,,,
2024-12-04,,1.074,,,,
2024-12-05,,1.0707,,,,
2024-12-06,,1.0808,,,,
2024-12-09,,1.1049,,,,
2024-12-10,,1.0954,,,,
2024-12-11,,1.0945,,,,
2024-12-12,,1.106,,,,
2024-12-13,,1.0866,,,,
2024-12-16,,1.0872,,,,
2024-12-17,,1.0796,,,,
2024-12-18,,1.0885,,,,
2024-12-19,,1.0799,,,,
2024-12-20,,1.0734,,,,
2024-12-23,,1.0865,,,,
2024-12-24,,1.0996,,,,
2024-12-25,,1.0998,,,,
2024-12-26,,1.1003,,,,
2024-12-27,,1.1068,,,,
2024-12-30,,1.1067,,,,
2024-12-31,,1.1108,,,,
2025-01-02,,1.0828,,,,
2025-01-03,,1.0788,,,,
2025-01-06,,1.0775,,,,
2025-01-07,,1.0711,,,,
2025-01-08,,1.0626,,,,
2025-01-09,,1.0641,,,,
2025-01-10,,1.0526,,,,
2025-01-13,,1.0443,,,,
2025-01-14,,1.0583,,,,
2025-01-15,,1.0613,,,,
2025-01-16,,1.0678,,,,
2025-01-17,,1.0729,,,,
2025-01-20,,1.0803,,,,
2025-01-21,,1.0796,,,,
2025-01-22,,1.0705,,,,
2025-01-23,,1.0765,,,,
2025-01-24,,1.0823,,,,
2025-01-27,,1.0892,,,,
2025-02-05,,1.0786,,,,
2025-02-06,,1.0876,,,,
2025-02-07,,1.0832,,,,
2025-02-10,,1.084,,,,
2025-02-11,,1.0767,,,,
2025-02-12,,1.0963,,,,
2025-02-13,,1.0832,,,,
2025-02-14,,1.0963,,,,
2025-02-17,,1.1087,,,,
2025-02-18,,1.0988,,,,
2025-02-19,,1.0957,,,,
2025-02-20,,1.0941,,,,
2025-02-21,,1.0988,,,,
2025-02-24,,1.1039,,,,
2025-02-25,,1.0906,,,,
2025-02-26,,1.1143,,,,
2025-02-27,,1.1131,,,,
2025-02-28,,1.0894,,,,
2025-03-03,,1.0947,,,,
2025-03-04,,1.0924,,,,
2025-03-05,,1.1149,,,,
2025-03-06,,1.1246,,,,
2025-03-07,,1.1284,,,,
2025-03-10,,1.1314,,,,
2025-03-11,,1.1377,,,,
2025-03-12,,1.1362,,,,
2025-03-13,,1.1364,,,,
2025-03-14,,1.1405,,,,
2025-03-17,,1.15,,,,
2025-03-18,,1.1637,,,,
2025-03-19,,1.1664,,,,
2025-03-20,,1.1571,,,,
2025-03-21,,1.1448,,,,
2025-03-24,,1.1448,,,,
2025-03-25,,1.1363,,,,
2025-03-26,,1.1369,,,,
2025-03-27,,1.142,,,,
2025-03-28,,1.1332,,,,
2025-03-31,,1.1266,,,,
2025-04-01,,1.1368,,,,
2025-04-02,,1.1426,,,,
2025-04-03,,1.1313,,,,
2025-04-07,,1.034,,,,
2025-04-08,,1.0464,,,,
2025-04-09,,1.049,,,,
2025-04-10,,1.0626,,,,
2025-04-11,,1.0714,,,,
2025-04-14,,1.0942,,,,
2025-04-15,,1.0989,,,,
2025-04-16,,1.0915,,,,
2025-04-17,,1.0944,,,,
2025-04-18,,1.0938,,,,
2025-04-21,,1.094,,,,
2025-04-22,,1.1044,,,,
2025-04-23,,1.1118,,,,
2025-04-24,,1.1094,,,,
2025-04-25,,1.1089,,,,
2025-04-28,,1.1192,,,,
2025-04-29,,1.1157,,,,
2025-04-30,,1.1199,,,,
2025-05-06,,1.13,,,,
2025-05-07,,1.1376,,,,
2025-05-08,,1.139,,,,
2025-05-09,,1.1491,,,,
2025-05-12,,1.1671,,,,
2025-05-13,,1.1656,,,,
2025-05-14,,1.1796,,,,
2025-05-15,,1.1738,,,,
2025-05-16,,1.1688,,,,
2025-05-19,,1.162,,,,
2025-05-20,,1.1688,,,,
2025-05-21,,1.1753,,,,
2025-05-22,,1.1701,,,,
2025-05-23,,1.171,,,,
2025-05-26,,1.1672,,,,
2025-05-27,,1.1707,,,,
2025-05-28,,1.1745,,,,
2025-05-29,,1.1766,,,,
2025-05-30,,1.1683,,,,
2025-06-03,,1.181,,,,
2025-06-04,,1.1841,,,,
2025-06-05,,1.1854,,,,
2025-06-06,,1.1884,,,,
2025-06-09,,1.194,,,,
2025-06-10,,1.2032,,,,
2025-06-11,,1.2148,,,,
2025-06-12,,1.2148,,,,
2025-06-13,,1.2234,,,,
2025-06-16,,1.2286,,,,
2025-06-17,,1.2259,,,,
2025-06-18,,1.2251,,,,
2025-06-19,,1.2062,,,,
2025-06-20,,1.2176,,,,
2025-06-23,,1.228,,,,
2025-06-24,,1.2403,,,,
2025-06-25,,1.2487,,,,
2025-06-26,,1.2442,,,,
2025-06-27,,1.2384,,,,
2025-06-30,,1.2293,,,,
2025-07-01,,1.2285,,,,
2025-07-02,,1.2502,,,,
2025-07-03,,1.2523,,,,
2025-07-04,,1.2567,,,,
2025-07-07,,1.2587,,,,
2025-07-08,,1.2593,,,,
2025-07-09,,1.2534,,,,
2025-07-10,,1.2644,,,,
2025-07-11,,1.264,,,,
2025-07-14,,1.2722,,,,
2025-07-15,,1.27,,,,
2025-07-16,,1.2685,,,,
2025-07-17,,1.2649,,,,
2025-07-18,,1.2724,,,,
2025-07-21,,1.2878,,,,
2025-07-22,,1.2979,,,,
2025-07-23,,1.3043,,,,
2025-07-24,,1.3131,,,,
2025-07-25,,1.313,,,,
2025-07-28,,1.3116,,,,
2025-07-29,,1.3112,,,,
2025-07-30,,1.3066,,,,
2025-07-31,,1.2869,,,,
2025-08-01,,1.2719,,,,
2025-08-04,,1.2786,,,,
2025-08-05,,1.2915,,,,
2025-08-06,,1.2927,,,,
2025-08-07,,1.3044,,,,
2025-08-08,,1.3017,,,,
2025-08-11,,1.2989,,,,
2025-08-12,,1.3097,,,,
2025-08-13,,1.3126,,,,
2025-08-14,,1.2952,,,,
2025-08-15,,1.2858,,,,
2025-08-18,,1.2762,,,,
2025-08-19,,1.2787,,,,
2025-08-20,,1.2803,,,,
2025-08-21,,1.2838,,,,
2025-08-22,,1.2753,,,,
2025-08-25,,1.2816,,,,
2025-08-26,,1.2713,,,,
2025-08-27,,1.2595,,,,
2025-08-28,,1.2614,,,,
2025-08-29,,1.2555,,,,
2025-09-01,,1.2577,,,,
2025-09-02,,1.2589,,,,
2025-09-03,,1.2525,,,,
2025-09-04,,1.2477,,,,
2025-09-05,,1.2633,,,,
2025-09-08,,1.2713,,,,
2025-09-09,,1.2706,,,,
2025-09-10,,1.2791,,,,
2025-09-11,,1.2845,,,,
2025-09-12,,1.2817,,,,
2025-09-15,,1.2822,,,,
2025-09-16,,1.2828,,,,
2025-09-17,,1.286,,,,
2025-09-18,,1.2734,,,,
2025-09-19,,1.2749,,,,
2025-09-22,,1.2593,,,,
2025-09-23,,1.256,,,,
2025-09-24,,1.2545,,,,
2025-09-25,,1.239,,,,
2025-09-26,,1.2431,,,,
2025-09-29,,1.2466,,,,
2025-09-30,,1.2433,,,,
2025-10-09,,1.2642,,,,
2025-10-10,,1.2618,,,,
2025-10-13,,1.2619,,,,
2025-10-14,,1.2599,,,,
2025-10-15,,1.2787,,,,
2025-10-16,,1.2931,,,,
2025-10-17,,1.2762,,,,
2025-10-20,,1.2922,,,,
2025-10-21,,1.2932,,,,
2025-10-22,,1.2949,,,,
2025-10-23,,1.3018,,,,
2025-10-24,,1.3037,,,,
2025-10-27,,1.3093,,,,
2025-10-28,,1.2998,,,,
2025-10-29,,1.2994,,,,
2025-10-30,,1.3026,,,,
2025-10-31,,1.2865,,,,
2025-11-03,,1.3058,,,,
2025-11-04,,1.31,,,,
2025-11-05,,1.3162,,,,
2025-11-06,,1.3292,,,,
2025-11-07,,1.3331,,,,
2025-11-10,,1.3491,,,,
2025-11-11,,1.3525,,,,
2025-11-12,,1.3653,,,,
2025-11-13,,1.3552,,,,
2025-11-14,,1.3394,,,,
2025-11-17,,1.3437,,,,
2025-11-18,,1.3202,,,,
2025-11-19,,1.3229,,,,
2025-11-20,,1.3236,,,,
2025-11-21,,1.2998,,,,
2025-11-24,,1.3114,,,,
2025-11-25,,1.3158,,,,
2025-11-26,,1.3206,,,,
2025-11-27,,1.3166,,,,
2025-11-28,,1.3102,,,,
2025-12-01,,1.314,,,,
2025-12-02,,1.3332,,,,
2025-12-03,,1.3251,,,,
2025-12-04,,1.3264,,,,
2025-12-05,,1.3245,,,,
2025-12-08,,1.3087,,,,
2025-12-09,,1.295,,,,
2025-12-10,,1.2956,,,,
2025-12-11,,1.2895,,,,
2025-12-12,,1.2992,,,,
2025-12-15,,1.2987,,,,
2025-12-16,,1.2808,,,,
2025-12-17,,1.2808,,,,
2025-12-18,,1.2849,,,,
2025-12-19,,1.2871,,,,
2025-12-22,,1.2896,,,,
2025-12-23,,1.2919,,,,
2025-12-24,,1.2901,,,,
2025-12-25,,1.2888,,,,
2025-12-26,,1.2883,,,,
2025-12-29,,1.2811,,,,
2025-12-30,,1.2771,,,,
2025-12-31,,1.2723,,,,
2026-01-05,,1.2742,,,,
2026-01-06,,1.2814,,,,
2026-01-07,,1.2859,,,,
2026-01-08,,1.2868,,,,
2026-01-09,,1.2905,,,,
2026-01-12,,1.2901,,,,
2026-01-13,,1.2973,,,,
2026-01-14,,1.296,,,,
2026-01-15,,1.2966,,,,
2026-01-16,,1.2962,,,,
2026-01-19,,1.2937,,,,
2026-01-20,,1.3021,,,,
2026-01-21,,1.3049,,,,
2026-01-22,,1.3155,,,,
2026-01-23,,1.305,,,,
2026-01-26,,1.3139,,,,
2026-01-27,,1.3151,,,,
2026-01-28,,1.3375,,,,
2026-01-29,,1.3515,,,,
2026-01-30,,1.3333,,,,
2026-02-02,,1.3134,,,,
2026-02-03,,1.3189,,,,
2026-02-04,,1.3435,,,,
2026-02-05,,1.3459,,,,
2026-02-06,,1.3493,,,,
2026-02-09,,1.357,,,,
2026-02-10,,1.3627,,,,
2026-02-11,,1.3721,,,,
2026-02-12,,1.363,,,,
2026-02-13,,1.3443,,,,
2026-02-24,,1.3639,,,,
2026-02-25,,1.3575,,,,
2026-02-26,,1.3455,,,,
2026-02-27,,1.3583,,,,
2026-03-02,,1.3566,,,,
2026-03-03,,1.3502,,,,
2026-03-04,,1.3316,,,,
2026-03-05,,1.3291,,,,
2026-03-06,,1.3366,,,,
2026-03-09,,1.3242,,,,
2026-03-10,,1.3196,,,,
2026-03-11,,1.3305,,,,
2026-03-12,,1.3315,,,,
2026-03-13,,1.3203,,,,
2026-03-16,,1.3154,,,,
2026-03-17,,1.3114,,,,
2026-03-18,,1.3133,,,,
2026-03-19,,1.3014,,,,
2026-03-20,,1.2967,,,,
2026-03-23,,1.2685,,,,
2026-03-24,,1.2853,,,,
2026-03-25,,1.2955,,,,
2026-03-26,,1.2793,,,,
2026-03-27,,1.2813,,,,
2026-03-30,,1.2714,,,,
2026-03-31,,1.2573,,,,
2026-04-01,,1.2621,,,,
2026-04-02,,1.2663,,,,
2026-04-03,,1.2672,,,,
2026-04-07,,1.266,,,,
2026-04-08,,1.2776,,,,
2026-04-09,,1.277,,,,
2026-04-10,,1.2831,,,,
2026-04-13,,1.2769,,,,
2026-04-14,,1.2801,,,,
2026-04-15,,1.2768,,,,
2026-04-16,,1.2795,,,,
2026-04-17,,1.2755,,,,
2026-04-20,,1.2811,,,,
2026-04-21,,1.2953,,,,
2026-04-22,,1.289,,,,
2026-04-23,,1.2935,,,,
2026-04-24,,1.2932,,,,
2026-04-27,,1.2873,,,,
2026-04-28,,1.2894,,,,
2026-04-29,,1.3012,,,,
2026-04-30,,1.2836,,,,
2026-05-06,,1.2939,,,,
2026-05-07,,1.2969,,,,
2026-05-08,,1.2966,,,,
2026-05-11,,1.3052,,,,
2026-05-12,,1.3055,,,,
2026-05-13,,1.2997,,,,
2026-05-14,,1.2986,,,,
2026-05-15,,1.2885,,,,
2026-05-18,,1.2673,,,,
2026-05-19,,1.269,,,,
2026-05-20,,1.2625,,,,
2026-05-21,,1.2512,,,,
2026-05-22,,1.2434,,,,
2026-05-25,,1.2427,,,,
2026-05-26,,1.2408,,,,
2026-05-27,,1.2349,,,,
2026-05-28,,1.2216,,,,
2026-05-29,,1.2329,,,,
2026-06-01,,1.2494,,,,
2026-06-02,,1.2517,,,,
2026-06-03,,1.2498,,,,
