date,open,close,high,low,volume,amount
2013-10-29,,1.0,,,,
2013-11-01,,1.0,,,,
2013-11-08,,0.992,,,,
2013-11-14,,0.99,,,,
2013-11-15,,1.01,,,,
2013-11-18,,1.045,,,,
2013-11-19,,1.039,,,,
2013-11-20,,1.044,,,,
2013-11-21,,1.038,,,,
2013-11-22,,1.031,,,,
2013-11-25,,1.026,,,,
2013-11-26,,1.026,,,,
2013-11-27,,1.036,,,,
2013-11-28,,1.047,,,,
2013-11-29,,1.047,,,,
2013-12-02,,1.044,,,,
2013-12-03,,1.056,,,,
2013-12-04,,1.071,,,,
2013-12-05,,1.068,,,,
2013-12-06,,1.061,,,,
2013-12-09,,1.062,,,,
2013-12-10,,1.064,,,,
2013-12-11,,1.044,,,,
2013-12-12,,1.043,,,,
2013-12-13,,1.043,,,,
2013-12-16,,1.026,,,,
2013-12-17,,1.019,,,,
2013-12-18,,1.02,,,,
2013-12-19,,1.011,,,,
2013-12-20,,0.985,,,,
2013-12-23,,0.991,,,,
2013-12-24,,0.994,,,,
2013-12-25,,1.002,,,,
2013-12-26,,0.985,,,,
2013-12-27,,1.003,,,,
2013-12-30,,1.005,,,,
2013-12-31,,1.019,,,,
2014-01-02,,1.01,,,,
2014-01-03,,0.992,,,,
2014-01-06,,0.975,,,,
2014-01-07,,0.973,,,,
2014-01-08,,0.976,,,,
2014-01-09,,0.97,,,,
2014-01-10,,0.965,,,,
2014-01-13,,0.958,,,,
2014-01-14,,0.968,,,,
2014-01-15,,0.967,,,,
2014-01-16,,0.967,,,,
2014-01-17,,0.959,,,,
2014-01-20,,0.953,,,,
2014-01-21,,0.962,,,,
2014-01-22,,0.987,,,,
2014-01-23,,0.982,,,,
2014-01-24,,0.986,,,,
2014-01-27,,0.97,,,,
2014-01-28,,0.972,,,,
2014-01-29,,0.976,,,,
2014-01-30,,0.964,,,,
2014-02-07,,0.968,,,,
2014-02-10,,0.99,,,,
2014-02-11,,0.995,,,,
2014-02-12,,0.999,,,,
2014-02-13,,0.995,,,,
2014-02-14,,1.002,,,,
2014-02-17,,1.012,,,,
2014-02-18,,1.0,,,,
2014-02-19,,1.012,,,,
2014-02-20,,1.0,,,,
2014-02-21,,0.992,,,,
2014-02-24,,0.97,,,,
2014-02-25,,0.948,,,,
2014-02-26,,0.949,,,,
2014-02-27,,0.946,,,,
2014-02-28,,0.956,,,,
2014-03-03,,0.963,,,,
2014-03-04,,0.961,,,,
2014-03-05,,0.952,,,,
2014-03-06,,0.957,,,,
2014-03-07,,0.951,,,,
2014-03-10,,0.925,,,,
2014-03-11,,0.929,,,,
2014-03-12,,0.934,,,,
2014-03-13,,0.944,,,,
2014-03-14,,0.941,,,,
2014-03-17,,0.952,,,,
2014-03-18,,0.949,,,,
2014-03-19,,0.942,,,,
2014-03-20,,0.928,,,,
2014-03-21,,0.961,,,,
2014-03-24,,0.966,,,,
2014-03-25,,0.965,,,,
2014-03-26,,0.962,,,,
2014-03-27,,0.957,,,,
2014-03-28,,0.954,,,,
2014-03-31,,0.955,,,,
2014-04-01,,0.963,,,,
2014-04-02,,0.972,,,,
2014-04-03,,0.966,,,,
2014-04-04,,0.974,,,,
2014-04-08,,0.994,,,,
2014-04-09,,0.994,,,,
2014-04-10,,1.009,,,,
